id,provenience,ancient_name,modern_name,total_occurences
257,uncertain (mod. Tell Abta),uncertain,Tell Abta,0
255,Sagub (mod. uncertain),Sagub,uncertain,0
254,Urkesh (mod. Tell Mozan),Urkesh,Tell Mozan,0
253,Dilbat (mod. Deilam),Dilbat,Deilam,0
252,Adab (mod. Bismaya),Adab,Bismaya,0
251,Isqalluna (mod. Ashkelon),Isqalluna,Ashkelon,0
250,Terqa (mod. Ashara),Terqa,Ashara,0
248,uncertain (mod. Hadidi),uncertain,Hadidi,0
247,uncertain (mod. Kermanshah),uncertain,Kermanshah,0
246,uncertain (mod. Pir Huseyin),uncertain,Pir Huseyin,0
245,Nerebtum (mod. Iščali),Nerebtum,Iščali,0
244,Tushhan (mod. Ziyaret Tepe),Tushhan,Ziyaret Tepe,0
242,Qattara (mod. Tell al Rimah,Qattara,Tell al Rimah,0
240,uncertain (mod. Bavian),uncertain,Bavian,0
315,KI.AN (mod. uncertain),KI.AN,uncertain,0
318,uncertain (mod. Tell Jidr),uncertain,Tell Jidr,0
3,uncertain (mod. Mugdan/Umm al-Jir),uncertain,Mugdan/Umm al-Jir,0
434,uncertain (mod. Tell Sukas),uncertain,Tell Sukas,0
432,uncertain (mod. Tell Fray),uncertain,Tell Fray,0
431,uncertain (mod. Tell Baradan),uncertain,Tell Baradan,0
430,uncertain (mod. Tell Abu Hajar),uncertain,Tell Abu Hajar,0
429,uncertain (mod. Tang-i Var),uncertain,Tang-i Var,0
428,uncertain (mod. Tall al-Farḥa),uncertain,Tall al-Farḥa,0
427,uncertain (mod. Suez),uncertain,Suez,0
425,uncertain (mod. Shir as-Sanam),uncertain,Shir as-Sanam,0
424,uncertain (mod. Sela),uncertain,Sela,0
422,uncertain (mod. Naqš-i-Rustam),uncertain,Naqš-i-Rustam,0
420,uncertain (mod. Mount Elvend),uncertain,Mount Elvend,0
419,uncertain (mod. Merj Khamis),uncertain,Merj Khamis,0
418,uncertain (mod. Mahmudiyah),uncertain,Mahmudiyah,0
417,uncertain (mod. Lacarna),uncertain,Lacarna,0
416,uncertain (mod. Konar Sandal),uncertain,Konar Sandal,0
415,uncertain (mod. Kastri Cythera Greece),uncertain,Kastri Cythera Greece,0
414,uncertain (mod. Kam-Firouz),uncertain,Kam-Firouz,0
413,uncertain (mod. Kabret),uncertain,Kabret,0
412,uncertain (mod. Gherla Romania),uncertain,Gherla Romania,0
411,uncertain (mod. Faqous),uncertain,Faqous,0
433,uncertain (mod. Tell Subeidi),uncertain,Tell Subeidi,0
435,uncertain (mod. Tell Taanach),uncertain,Tell Taanach,0
409,uncertain (mod. El-Khargeh),uncertain,El-Khargeh,0
436,uncertain (mod. Tell Yelkhi),uncertain,Tell Yelkhi,0
636,uncertain (mod. Tulul Khatab),uncertain,Tulul Khatab,0
635,uncertain (mod. Tell Khaiber),uncertain,Tell Khaiber,0
634,Kar-Mullissu (mod. Karamles),Kar-Mullissu,Karamles,0
617,uncertain (mod. Tag),uncertain,Tag,0
616,uncertain (mod. Qal’eh-i Imam),uncertain,Qal’eh-i Imam,0
614,Šahdad (mod. Kerman),Šahdad,Kerman,0
526,Šibaniba (mod. Tell Billa),Šibaniba,Tell Billa,0
448,Ālu-ša-Ṭūb-Yāma (mod. uncertain),Ālu-ša-Ṭūb-Yāma,uncertain,0
447,Ālu-ša-Našar (mod. uncertain),Ālu-ša-Našar,uncertain,0
446,Āl-šarri-ša-qašti-eššeti (mod. uncertain),Āl-šarri-ša-qašti-eššeti,uncertain,0
445,Āl-šarri (mod. uncertain),Āl-šarri,uncertain,0
444,uncertain (mod. Šišin),uncertain,Šišin,0
443,uncertain (mod. al Ḥā'iṭ Saudi Arabia),uncertain,al Ḥā'iṭ Saudi Arabia,0
442,uncertain (mod. Uluburun),uncertain,Uluburun,0
441,uncertain (mod. Turlu Höyük),uncertain,Turlu Höyük,0
440,uncertain (mod. Tilmen Höyük),uncertain,Tilmen Höyük,0
439,uncertain (mod. Thebes),uncertain,Thebes,0
438,uncertain (mod. Tell el-Maskuta),uncertain,Tell el-Maskuta,0
437,uncertain (mod. Tell el-Hesi),uncertain,Tell el-Hesi,0
410,uncertain (mod. Failaka),uncertain,Failaka,0
